"Sample","Experiment","Condition","Cluster","Count","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"Unstained","Test","test","V7_10-B3_06-R7_00",4257,278.018707275391,251.428802490234,329.582946777344,343.684417724609,570.412475585938,553.183410644531,913.639038085938,532.075927734375,437.815399169922,431.654754638672,189.24462890625,142.977951049805,129.82341003418,133.831298828125,102.493354797363,63.1121711730957,308.953399658203,331.065002441406,450.489410400391,237.443664550781,239.156036376953,166.367141723633,135.177261352539,102.134414672852,94.9987640380859,68.0506896972656,44.6607704162598,38.8288345336914,49.8512382507324,59.0308685302734,35.8371238708496,43.0782737731934,33.3781280517578,46.9949989318848,37.521858215332,27.4763145446777,0,26.093692779541
"Unstained","Test","test","V7_10-B3_04-R7_00",4007,276.978881835938,250.894409179688,346.666595458984,352.315460205078,554.512451171875,522.005065917969,916.811828613281,503.983154296875,414.122772216797,413.294830322266,184.983840942383,144.401260375977,122.952713012695,130.292175292969,91.8523254394531,61.2233657836914,265.404113769531,293.008972167969,280.765625,210.732177734375,220.517578125,154.352142333984,119.843284606934,90.9282150268555,80.2524642944336,62.9077568054199,31.5910301208496,37.9385795593262,50.1251449584961,55.1229019165039,37.2004928588867,30.2764110565186,27.3970756530762,50.8949966430664,33.1900672912598,34.5051383972168,0,30.1554470062256
"Unstained","Test","test","V7_10-B3_06-R7_02",3958,301.641845703125,275.876983642578,366.049957275391,382.68635559082,629.97119140625,610.398986816406,999.855224609375,594.457458496094,479.227661132812,470.931854248047,216.022064208984,174.161361694336,147.719932556152,153.525863647461,119.72790145874,74.7706604003906,343.80029296875,370.354675292969,493.701263427734,277.695892333984,279.015365600586,204.992034912109,158.141021728516,120.447914123535,103.965103149414,80.3117408752441,47.1069793701172,45.0263824462891,58.1027126312256,65.0299377441406,42.6539688110352,44.9025402069092,40.4846439361572,58.3049964904785,41.1215171813965,43.0994758605957,94.7546463012695,33.4171600341797
"Unstained","Test","test","V7_10-B3_04-R7_02",3702,291.763671875,266.157821655273,361.253387451172,368.961059570312,599.231231689453,561.807189941406,964.047821044922,548.944580078125,443.124664306641,434.212020874023,196.553527832031,151.161972045898,141.830764770508,132.979286193848,112.416275024414,66.8572196960449,287.514907836914,310.990264892578,297.72314453125,232.930099487305,230.136222839355,174.47541809082,146.305572509766,102.435256958008,91.7012252807617,71.6283798217773,46.1634426116943,44.9579010009766,47.6257362365723,55.362865447998,42.7513523101807,43.2382984161377,42.9928283691406,55.5424976348877,45.3312835693359,37.9556541442871,89.6236343383789,36.8327236175537
"Unstained","Test","test","V7_10-B3_08-R7_00",2635,284.777465820312,231.856903076172,306.125793457031,332.392669677734,577.368713378906,555.040832519531,884.242004394531,527.534362792969,444.916534423828,444.834533691406,187.409210205078,142.39567565918,125.373817443848,132.454971313477,96.9443511962891,59.7253456115723,351.531585693359,372.410766601562,609.800659179688,258.457702636719,257.045959472656,185.237319946289,145.077362060547,104.089866638184,90.7008438110352,71.9265213012695,38.0909538269043,32.1861610412598,42.7981109619141,56.4255561828613,36.4214248657227,35.4611663818359,28.4260730743408,41.9899978637695,36.423656463623,33.8661575317383,0,28.9246120452881
"Unstained","Test","test","V7_10-B3_08-R7_02",2454,284.842437744141,250.69401550293,339.5703125,348.486663818359,638.119995117188,612.057403564453,968.256622314453,592.835479736328,492.567199707031,475.095626831055,201.043746948242,156.27294921875,133.913108825684,146.67700958252,103.79899597168,70.504566192627,398.55436706543,425.532196044922,666.474395751953,310.770767211914,291.066741943359,209.488441467285,160.709098815918,100.517417907715,100.630512237549,71.9265251159668,43.5075588226318,46.6699333190918,50.3305759429932,59.3736743927002,44.9587116241455,36.5493240356445,28.5225419998169,54.4374980926514,41.4570770263672,32.492338180542,88.1488571166992,30.0631341934204
"Unstained","Test","test","V7_10-B3_06-R7_04",2076,281.560546875,252.130180358887,344.071182250977,361.530578613281,575.149353027344,553.050720214844,898.422485351562,526.398956298828,438.81086730957,438.113494873047,198.815017700195,144.595336914062,138.068244934082,132.094505310059,104.843521118164,70.6673965454102,302.977523803711,338.653778076172,446.435958862305,242.69718170166,236.498748779297,173.222320556641,156.577850341797,98.8628082275391,92.66455078125,74.684326171875,37.7065505981445,47.5944271087646,46.4958648681641,56.596960067749,50.5095672607422,40.7419338226318,36.1757144927979,54.502498626709,45.2397689819336,33.1313247680664,254.000205993652,48.9872169494629
"Unstained","Test","test","V7_10-B3_02-R7_00",1953,262.876495361328,245.216552734375,325.443450927734,331.938415527344,516.617492675781,490.959411621094,872.651550292969,463.174011230469,382.864471435547,383.984527587891,156.797073364258,128.162582397461,119.419212341309,118.16739654541,92.9621200561523,50.9977607727051,232.08854675293,269.308074951172,105.463752746582,179.285140991211,191.773941040039,138.430435180664,117.237991333008,97.9979019165039,66.6918029785156,52.4728202819824,36.7630157470703,29.7893180847168,40.4698905944824,40.8622512817383,26.2286186218262,31.62060546875,23.2167701721191,45.4349975585938,34.5933227539062,26.5178394317627,0,21.9088554382324
"Unstained","Test","test","V7_10-B3_04-R7_04",1870,278.993515014648,257.741226196289,352.613006591797,356.144271850586,559.514343261719,530.396667480469,911.955505371094,508.167861938477,413.193664550781,423.261642456055,186.917587280273,145.404037475586,131.426574707031,124.19701385498,88.6861267089844,56.9572677612305,273.023376464844,290.91552734375,281.84407043457,210.73218536377,197.949333190918,165.482604980469,125.686573028564,101.984001159668,74.6948165893555,65.9637069702148,28.2711772918701,32.7682495117188,42.9350624084473,54.2316112518311,25.7092399597168,29.4442892074585,38.3623371124268,52.8449974060059,38.0709571838379,38.1792984008789,258.025131225586,27.2322149276733
"Unstained","Test","test","V7_10-B3_02-R7_02",1679,271.194976806641,251.094802856445,341.147247314453,345.696166992188,549.742492675781,504.956481933594,904.638610839844,497.300567626953,383.129943847656,388.574523925781,171.611511230469,137.025924682617,113.071998596191,123.476081848145,83.6267395019531,54.3845863342285,244.264419555664,276.336120605469,112.231880187988,184.168685913086,197.387939453125,141.600036621094,121.927513122559,79.1955413818359,76.7696685791016,57.6902885437012,30.9620056152344,29.0360260009766,42.6611557006836,55.191463470459,38.8884735107422,35.8452224731445,18.2647171020508,50.6999969482422,27.6380519866943,23.1312236785889,82.6491546630859,26.8937358856201
